Provinsi,City,Univ,Facculty,LPM Name,LINK,Note
Jawa Timur,Kediri,UIN Kediri,Universitas,LPM Dedikasi,https://dedikasi.id/,Wordpress
Jawa Timur,Malang,POLINEMA,Universitas,LPM Kompen,https://lpmkompen.or.id/,Wordpress
Jawa Timur,Malang,UB,FEB,LPM Indikator,https://lpmindikator.com/,Wordpress
Jawa Timur,Malang,UB,FH,LPM Manifest,https://manifestpers.id/,(old) Wordpress
Jawa Timur,Malang,UB,FIA,LPM DIANNS,https://dianns.org/,Wordpress
Jawa Timur,Malang,UB,FIB,LPM MIMESIS,https://lpmmimesis.com/,Wordpress
Jawa Timur,Malang,UB,FIK,LPM Aqua,https://aquaub.blogspot.com/,Blogspot
Jawa Timur,Malang,UB,FISIP,LPM Perspektif,https://lpmperspektif.com/,Wordpress
Jawa Timur,Malang,UB,FMIPA,LPM Basic,https://kabarbasic.com/,Wordpress
Jawa Timur,Malang,UB,FP,LPM Canopy,https://persmacanopy.com/,Wordpress
Jawa Timur,Malang,UB,Universitas,LPM Kavling,https://lpmkavling10.com/,Wordpress
Jawa Timur,Malang,UM,FIS,LPM BUMANTARA,https://bumantaralpmis.business.blog/,Blogspot
Jawa Timur,Malang,UM,Universitas,LPM Siar,https://siarpersma.id/,Wordpress
Jawa Timur,Malang,UNISMA,FIA,LPM Nadifia,https://lpmnadifia.blogspot.com/,Blogspot
Jawa Timur,Malang,UNISMA,Universitas,LPM Fenomena,https://lpmfenomena.com/,Wordpress
Jawa Timur,Malang,Usunitri,Universitas,LPM Papyrus,https://www.lpm-papyrus.com/,Blogspot
Jawa Timur,Pontianak,UNTAN,Universitas,LPM Mimbar,https://mimbaruntan.com/,Wordpress
Jawa Timur,Sidoarjo,IAI Al-Khoziny,Universitas,LPM IPMA,https://ipmanews.blogspot.com/,Blogspot
Jawa Timur,Surabaya,ITS,Universitas,LPM Satu Kosong,https://satukosongits.blogspot.com/,Blogspot
Jawa Timur,Surabaya,UINSA,FAHUM,LPM Qimah,https://www.lpmqimah.com/,Blogspot
Jawa Timur,Surabaya,UINSA,FISIP,LPM Parlemen,https://lpmparlemen.com/,Wordpress
Jawa Timur,Surabaya,UINSA,FPK,LPM Alam Tara,https://www.alamtarapersma.com,Wordpress
Jawa Timur,Surabaya,UINSA,FSH,LPM Arrisalah,https://www.arrisalahpers.com/,Blogspot
Jawa Timur,Surabaya,UNAIR,FIB,LPM Situs,https://perssitus.com/,Wordpress
Jawa Timur,Surabaya,UNAIR,Universitas,LPM Mercusuar,https://persmercusuar.com/,Wordpress
Jawa Timur,Surabaya,UPN Jatim,Universitas,LPM Pena Merah,https://pers-upn.com/,Wordpress
Jawa Timur,Tuban,UNIROW,Universitas,LPM Waskita,https://lpmwaskita.com/,Wordpress
Kalimantan Barat,Banjarmasin,ULM,Universitas,LPM INTR-O,https://introrealita.com/,Wordpress
Kalimantan Selatan,Amon,UNIDAR,Universitas,LPM Mata,https://www.lpmmata.com/,Blogspot
Kalimantan Selatan,Hulu Sungai,STAI RAKHA,Universitas,LPM Al-hikmah,https://alfajarstairakha.blogspot.com/,Blogspot
Kalimantan Selatan,Makassar,UNM,Universitas,LPM Profesi,https://profesi-unm.com/,Wordpress
Sulawesi Selatan,Deli Serdang,UINSU,Universitas,LPM Dinamika,https://lpmdinamika.co/,Wordpress
Sumatera Barat,Medan,Polmed,Universitas,LPM Neraca,https://lpmneraca.com/,Wordpress
